kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250925110533992-0020,T20-000964184,S11-250900021^1,21020486,A20119,S1,10,2025-10-21 00:20:00.000,,0,1,0,1,0,0
S-W-20250925110533992-0021,T20-000964183,S11-250900021^1,21020485,A20119,S1,10,2025-10-21 00:20:00.000,,0,1,0,1,0,0
S-W-20250925110609659-0007,T20-000965692,S11-250800036^3,21030904,A20119,S1,10,2025-10-21 00:20:00.000,,0,1,0,1,0,0
S-W-20250925110609659-0009,T20-000965690,S11-250800036^3,21030902,A20119,S1,10,2025-10-21 00:20:00.000,,0,1,0,1,0,0
S-W-20250930204702796-0054,T20-000965814,S11-250800036^9,21030018,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204702796-0055,T20-000965815,S11-250800036^9,21030130,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204702796-0058,T20-000965818,S11-250800036^9,21030134,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204702796-0060,T20-000965820,S11-250800036^9,21030918,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204702796-0062,T20-000965822,S11-250800036^9,21030921,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204754007-0042,T20-000964183,S11-250900021^1,21020485,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204754007-0043,T20-000964184,S11-250900021^1,21020486,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204754007-0044,T20-000964189,S11-250900021^1,21020491,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204754007-0045,T20-000964190,S11-250900021^1,21020493,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204754007-0046,T20-000964191,S11-250900021^1,21020495,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204754007-0047,T20-000964192,S11-250900021^1,21020496,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204755796-0077,T20-000966482,S11-250800026^1,21030902,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204755796-0080,T20-000966484,S11-250800026^1,21030904,A20119,S1,10,2025-10-21 00:20:00.000,,2,1,0,1,0,0
S-W-20250930204805801-0076,T20-000966729,S11-250900014^1,21030725,A20119,S1,10,2025-10-21 00:41:14.400,,0,1,0,1,0,0
S-W-20250930204805801-0078,T20-000966728,S11-250900014^1,21030717,A20119,S1,10,2025-10-21 00:41:14.400,,2,1,0,1,0,0
S-W-20250930204805801-0079,T20-000966727,S11-250900014^1,21030715,A20119,S1,10,2025-10-21 00:41:14.400,,2,1,0,1,0,0
S-W-20251007174725392-0012,T20-000966852,S11-250800035^1,21030239,A20119,S1,10,2025-10-21 01:20:00.000,,2,1,0,1,0,0
S-W-20250930204800200-0011,T20-000966659,S11-250800026^7,21030964,A20119,S1,10,2025-10-21 01:42:52.000,,2,1,0,1,0,0
S-W-20251007174740184-0046,T20-000968089,S11-250800037^4,21210239,A20119,S1,10,2025-10-21 02:03:44.400,,2,1,0,1,0,0
S-W-20251007174741634-0047,T20-000968271,S11-250800037^7,21210239,A20119,S1,10,2025-10-21 02:04:57.200,,2,1,0,1,0,0
S-W-20250923163555251-0048,T20-000964644,S11-250900027^4,20030574,A20119,S1,10,2025-10-21 03:00:55.200,,0,1,0,1,0,0
S-W-20250925110514946-0033,T20-000964644,S11-250900027^4,20030574,A20119,S1,10,2025-10-21 03:00:55.200,,0,1,0,1,0,0
S-W-20250923163602710-0026,T20-000965609,S11-250800036^2,20030882,A20119,S1,10,2025-10-21 03:07:09.600,,0,1,0,1,0,0
S-W-20250923163602710-0028,T20-000965606,S11-250800036^2,20030878,A20119,S1,10,2025-10-21 03:08:21.600,,0,1,0,1,0,0
S-W-20250930204656841-0060,T20-000965606,S11-250800036^2,20030878,A20119,S1,10,2025-10-21 03:31:45.600,,2,1,0,1,0,0
S-W-20250930204656841-0062,T20-000965609,S11-250800036^2,20030882,A20119,S1,10,2025-10-21 03:32:36.000,,2,1,0,1,0,0
S-W-20250930204700238-0028,T20-000965726,S11-250800036^4,20020326,A20119,S1,10,2025-10-21 03:48:37.200,,2,1,0,1,0,0
S-W-20250923163611689-0026,T20-000965216,S11-250800033^3,20030882,A20119,S1,10,2025-10-21 03:51:01.200,,0,1,0,1,0,0
S-W-20250930204700238-0030,T20-000965727,S11-250800036^4,20020328,A20119,S1,10,2025-10-21 03:52:09.600,,2,1,0,1,0,0
S-W-20250923163611689-0028,T20-000965213,S11-250800033^3,20030878,A20119,S1,10,2025-10-21 05:07:18.000,,0,1,0,1,0,0
S-W-20250925110631455-0035,T20-000965065,S11-250800033^1,20030136,A20119,S1,10,2025-10-21 05:27:52.800,,0,1,0,1,0,0
S-W-20250930204802631-0045,T20-000966066,S11-250900020^1,21210283,A20119,S1,10,2025-10-21 06:25:49.200,,2,1,0,1,0,0
